일자,기업명,분야,투자금,단계,투자사
2017-07-01,씨케이머티리얼즈랩,제조,비공개,,
2017-07-01,에티켓,O2O,비공개,,
2017-07-01,스토리앤브라더스,O2O,비공개,,
2017-07-03,어반베이스,O2O,21억원,,"CKD창업투자, 마젤란기술투자, 캡스톤파트너스"
2017-07-04,에이비일팔공,소프트웨어,15억원,,GS홈쇼핑
2017-07-06,휴마트컴퍼니,모바일,5억원,,"케이큐브벤처스, 카이스트 청년창업투자지주회사"
2017-07-06,마타주,O2O,16억원,,
2017-07-07,슈가힐,O2O,12억원,,"지온인베스트먼트, 케이큐브벤처스"
2017-07-10,베스핀글로벌,솔루션,170억원,시리즈A,"레전드 캐피탈, 프리미어 파트너스, 알토스벤처스, 효성 ITX"
2017-07-12,브랜디,e커머스,64억원,시리즈B,"세마트랜스링크인베스트먼트, DSC인베스트먼트, 빅베이슨 캐피털"
2017-07-14,스위트스팟,O2O,10억원,시드,알토스벤처스
2017-07-20,크몽,소프트웨어,30억원,,알토스벤처스
2017-07-21,지냄,O2O,5억원,,캡스톤파트너스
2017-07-25,머니브레인,소프트웨어,15억원,,L&S벤처캐피탈
2017-07-25,블랭크코퍼레이션,커머스,100억원,시리즈A,소프트뱅크벤처스
2017-07-26,삼분의일,제조,5억원,,"캡스톤파트너스, 은행권청년창업재단"
2017-07-27,메쉬코리아,솔루션,240억원,,네이버
2017-07-27,코제,제조,1억원,,시리즈(유)
2017-08-01,파슬넷,O2O,비공개,,
2017-08-01,패스트인베스트먼트,투자,비공개,,
2017-08-01,핀스크린,콘텐츠,비공개,,
2017-08-01,디저트올마이티,e커머스,비공개,,
2017-08-01,니더,O2O,비공개,,
2017-08-01,디레몬,핀테크,11억원,,"타임와이즈인베스트먼트, 송현인베스트먼트, KB인베스트먼트, 에셋플러스자산운용"
2017-08-01,유니즈컴즈,e커머스,비공개,,
2017-08-01,이에스엠연구소,콘텐츠,비공개,,
2017-08-02,쥬빌리웍스,소프트웨어,53억원,,케이큐브벤처스·코그니티브
2017-08-04,와그트래블,O2O,27억원,,글로벌텍스프리
2017-08-04,원패밀리,소프트웨어,7억원,,코그니티브인베스트
2017-08-10,아이스앤브이,O2O,50억원,,"한국투자파트너스, 화이브라더스코리아"
2017-08-10,닥터키친,헬스케어,23억원,,"지앤텍, 미래에셋벤처투자"
2017-08-14,머니브레인,소프트웨어,5억원,,동훈인베스트먼트
2017-08-17,딥벨리데이션,소프트웨어,4억4000만원,,"케이큐브벤처스, GS홈쇼핑, 디캠프"
2017-08-17,티엔디엔,핀테크,10억원,,"캡스톤파트너스, 스타트업엑스"
2017-08-17,맥스트,소프트웨어,30억원,,"인터베스트, 엘앤에스벤처캐피탈, 코그니티브인베스트먼트"
2017-08-23,위클리셔츠,O2O,5억원,,"케이큐브벤처스, 디캠프, 윤민창의투자재단"
2017-08-25,플랫,O2O,10억원,,코그니티브인베스트먼트
2017-08-28,우먼스톡,e커머스,75억5000만원,,"서울투자파트너스, KB인베스트먼트, 대성창업투자, 한국투자파트너스, 더웰스인베스트먼트, UTC인베서트먼트"
2017-08-30,어뮤즈트래블,콘텐츠,3000만원,,에스오피오오엔지
2017-08-30,H2K,교육,3000만원,,에스오피오오엔지
2017-08-30,다비오,소프트웨어,25억원,,"미래에셋, 네이버 펀드"
2017-08-30,올봄,O2O,3000만원,,에스오피오오엔지
2017-09-01,로지브라더스,교육,비공개,,
2017-09-01,꿈꾸는다락방,O2O,8억원,,"케이큐브벤처스, 플랜트리파트너스, 서울산업진흥원"
2017-09-01,트레져헌터,MCN,비공개,,
2017-09-01,캐시파이,모바일,비공개,,
2017-09-01,트릴리어네어,플랫폼,비공개,,
2017-09-01,센트비,핀테크,비공개,,
2017-09-01,플리토,소프트웨어,비공개,,
2017-09-01,포티투마루,소프트웨어,비공개,,
2017-09-01,겟차,O2O,비공개,,
2017-09-01,쿠딩,플랫폼,비공개,,
2017-09-04,클레슨,O2O,3억원,,"한국벤처투자, 더브릿지제1호사모투자조합"
2017-09-04,에이팀벤처스,소프트웨어,23억원,,알토스벤처스
2017-09-08,아우름플래닛,소프트웨어,6억원,,"케이브릿지인베스트먼트, 스프링캠프"
2017-09-11,호갱노노,O2O,23억원,시리즈A,"CKD창업투자, KT인베스트먼트, IBK캐피털, 프라이머, 카이스트청년창업지주"
2017-09-13,아이브이웍스,반도제소재,12억원,시리즈A,"마젤란기술투자, 마이다스동아인베스트먼트, 수림창업투자"
2017-09-20,미니스쿨,교육,4억원,,"케이큐브벤처스, 플랜트리 파트너스"
2017-09-25,와디즈,크라우드펀딩,110억원,시리즈B,"한국투자파트너스, 스틱인베스트먼트, L&S벤처캐피탈, 신한은행"
2017-10-01,OGQ,O2O,비공개,,
2017-10-01,바이탈힌트코리아,플랫폼,비공개,,
2017-10-01,마이샵온샵,O2O,비공개,,
2017-10-01,스튜디오포립,게임,비공개,,
2017-10-10,엑스브레인,소프트웨어,7억원,,"포스텍기술지주회사, 캡스톤"
2017-10-11,용감한컴퍼니,교육,20억원,,소프트뱅크벤처스
2017-10-12,투게더펀딩,핀테크,30억원,,한국투자파트너스
2017-10-18,밥게임즈,게임,40억원,,"넵튠, 케이큐브벤처스, 케이글라비스"
2017-10-19,마이리얼트립,콘텐츠,70억원,,"스마일게이트인베스트먼트, 알토스벤처스, IMM인베스트먼트, 미래에셋-네이버펀드, IBK캐피탈"
2017-10-19,미디어프론트,콘텐츠,20억원,,"퀄컴-컴퍼니케이 모바일생태계 상생펀드, 컴퍼니케이파트너스 디지털콘텐츠코리아펀드"
2017-10-19,조이코퍼레이션,소프트웨어,45억원,시리즈B,"글로벌브레인, KDDI 오픈 이노베이션 펀드, 코로뿌라 넥스트"
2017-10-19,애니메디솔루션,헬스케어,15억원,,컴퍼니케이파트너스
2017-10-25,한국신용데이터,소프트웨어,40억원,,카카오
2017-10-27,드라마앤컴퍼니,소프트웨어,50억원,,네이버
2017-10-29,우아한형제들,O2O,350억원,,네이버
2017-10-31,아이오앤코코리아,플랫폼,30억원,,"시드 세종텔레콤, 비에이파트너스, 고스트홀딩스"
2017-10-31,풀러스,O2O,220억원,시리즈A,"네이버-미래에셋 합작펀드, 옐로우독, SK, 콜라보레이티브 펀드"
2017-11-01,우주,게임,비공개,,
2017-11-01,원더스,소프트웨어,비공개,,
2017-11-01,비닷두,소프트웨어,비공개,,
2017-11-01,알레시오,소프트웨어,비공개,,
2017-11-01,맘편한세상,O2O,비공개,시드,본엔젤스벤처파트너스
2017-11-01,데일리금융,핀테크,비공개,,
2017-11-01,트레져헌터,MCN,비공개,,
2017-11-01,라이노브파트너즈,O2O,비공개,,
2017-11-01,비욘드리밋,교육,비공개,,
2017-11-01,자란다,O2O,비공개,,
2017-11-01,한국신용데이터,소프트웨어,비공개,,
2017-11-01,딥메디,소프트웨어,비공개,,
2017-11-01,마이뮤직테이스트,콘텐츠,비공개,,
2017-11-02,코코클리어닷에이아이,콘텐츠,3억원,,케이큐브벤처스
2017-11-07,샤플,플랫폼,20억원,,KTB네트워크
2017-11-08,OGQ,플랫폼,25억원,시리즈A,센트럴투자파트너스
2017-11-08,로플랫,플랫폼,30억원,,네이버
2017-11-10,오드컨셉,e커머스,25억원,,"스톤브릿지캐피털, 코로프라 넥스트"
2017-11-15,바움,소프트웨어,11억원,,케이큐브벤처스
2017-11-15,식신,콘텐츠,40억원,,HB인베스트먼트
2017-11-15,알테아,플랫폼,80억원,,"한국산업은행, 퍼스트플로어캐피탈, 이노벤캐피탈, 비에이파트너스, 텍톤벤처스"
2017-11-16,도그메이트,O2O,5억원,,"GS홈쇼핑, 스트롱벤처스, 프라이머"
2017-11-20,엑스트라이버,플랫폼,6억원,,본엔젤스벤처파트너스
2017-11-21,슈가힐,플랫폼,30억원,,"케이큐브벤처스, 지온인베스트먼트, KEB하나은행"
2017-11-28,홈스토리생활,소프트웨어,20억원,,"한국투자파트너스, 산은캐피탈"
2017-11-30,올거나이즈,소프트웨어,11억원,,글로벌브레인
2017-12-01,티엔디엔,핀테크,5억원,,에버그린투자파트너스
2017-12-01,휴먼스케이프,헬스케어,비공개,,
2017-12-01,톤28,플랫폼,비공개,,
2017-12-01,마타주,O2O,비공개,,
2017-12-01,엔터크라우드,플랫폼,비공개,,
2017-12-01,어반베이스,소프트웨어,비공개,,
2017-12-01,마이셀럽스,소프트웨어,비공개,,
2017-12-01,마일로컴퍼니,콘텐츠,비공개,,
2017-12-01,팜스킨,제조,비공개,,
2017-12-04,마스오토,소프트웨어,4억원,시드,"케이큐브벤처스, 카카오모빌리티"
2017-12-05,모인,핀테크,20억원,시리즈A,"비에이파트너스, 더웰스인베스트먼트, 어니스트벤처스, 보광창업투자, 캡스톤파트너스, 스트롱벤처스"
2017-12-05,하임바이오,헬스케어,30억원,,
2017-12-07,바이오네틱스,헬스케어,30억원,,"오스트 인베스트먼트, 파트너스 인베스트먼트, 미래에셋벤처투자, 컴퍼니케이파트너스"
2017-12-12,원모먼트,O2O,5억원,,캡스톤파트너스
2017-12-13,캐럿게임즈,게임,30억원,,"소프트뱅크벤처스, SL인베스트먼트"
2017-12-20,그렙,교육,5억원,,"케이큐브벤처스, 패스트인베스트먼트"
2017-12-20,센드버드,모바일,170억원,시리즈A,"샤스타 벤처스, 어거스트 캐피탈"
2017-12-22,시큐리티플랫폼,보안,30억원,,"소프트뱅크벤처스, 프리미어파트너스"
2017-12-22,야놀자,O2O,200억원,,아주아이비투자
2017-12-26,애스톤,소프트웨어,100억원,,하이브리드블록
2017-12-28,트러스트어스,O2O,35억원,,"KDB산업은행, 일본 벤처캐피털 글로벌브레인"
2017-12-28,포티투마루,소프트웨어,9억원,,
2018-01-08,주빅,헬스케어,34억원,,"기술보증기금과 타임와이즈인베스트먼트, 코리아메가투자금융"
2018-01-08,테라펀딩,핀테크,100억원,시리즈A,"우리은행,에이티넘인베스트먼트, SBI인베스트먼트, 프리미어파트너스"
2018-01-09,식스샵,,비공개,,신한카드
2018-01-09,오픈갤러리,콘텐츠,40억원,,"케이디비인프라자산운용, IBK 캐피탈"
2018-01-09,트라이브,O2O,1억4000만원,,AI엔젤투자클럽
2018-01-09,해물래,푸드테크,비공개,,매쉬업엔젤스
2018-01-10,젠큐릭스,바이오,20억원,,한국투자파트너스
2018-01-10,리버스랩,O2O,비공개,,515 액셀러레이터
2018-01-10,토닥,헬스케어,10억원,,SJ투자파트너스
2018-01-10,이지식스,모빌리티,7억원,,카카오모빌리티
2018-01-11,토스랩,협업툴,55억원,,"SBI 인베스트먼트, KDB 산업은행, 대교 인베스트먼트, 에버그린투자파트너스"
2018-01-15,케이앤컴퍼니,부동산,비공개,,KB인베스트먼트
2018-01-16,테이블매니저,푸드,7억원,,
2018-01-16,짐싸,O2O,5억원,,빅베이슨캐피탈
2018-01-17,액션스퀘어,게임,200억원,,카카오게임즈
2018-01-17,아프리카프릭스,게임,5억원,,센트럴투자파트너스
2018-01-17,올리브유니온,하드웨어,1억5000만원,시드,마그나인베스트먼트
2018-01-18,카카오,,1조원,,
2018-01-18,노멀리스트,뷰티,비공개,,매쉬업엔젤스
2018-01-22,스노우,콘텐츠,550억원,,"소프트뱅크, 세콰이어캐피탈차이나"
2018-01-22,하임바이오,바이오,50억원,,
2018-01-23,건강한형제들,하드웨어,비공개,,매쉬업엔젤스
2018-01-24,소리바다,콘텐츠,80억원,,무기명식 무보증 사모 전환사채
2018-01-24,청소연구소,홈클리닝,25억원,시리즈A,"옐로우독, 케이큐브벤처스"
2018-01-25,비씨에이코리아,뷰티,45억원,,현대투자파트너스
2018-01-30,코어사이트,게임,비공개,,메쉬업엔젤스
2018-01-31,베스핀글로벌,클라우드,300억원,시리즈A,ST Telemedia
2018-01-31,오케이홈,홈클리닝,3억원,,"케이큐브벤처스, 스프링캠프"
2018-01-31,애디터,협업툴,비공개,,"윤민창의재단, 메가인베스트먼트"
2018-02-02,인테이크,푸드,30억원,시리즈A,"소프트뱅크벤처스, 동아쏘시오홀딩스"
2018-02-05,앱포스터,SW개발,10억원,,기술보증기금
2018-02-06,즐거운,모바일,20억원,시리즈B,"신용보증기금, IBK기업은행"
2018-02-06,스켈터랩스,SW개발,비공개,시리즈A,"스톤브릿지벤처스, 롯데홈쇼핑"
2018-02-06,코리아센터닷컴,e커머스,260억원,,수인베스트먼트
2018-02-07,코멘토,콘텐츠,비공개,시드라운드,"500스타트업스, 매커니즘엔젤펀드"
2018-02-07,코드박스,SW개발,비공개,시드,"케이큐브벤처스, 두나무"
2018-02-07,원더스,O2O,40억원,시리즈B,"타임와이즈인베스트먼트, 라이트하우스컴바인인베스트, 데브시스터즈벤처스, 아주IB투자, 케이큐브벤처스, 동훈인베스트먼트"
2018-02-08,버킷플레이스,인테리어,50억원,,"미래에셋벤처투자, IMM 인베스트먼트"
2018-02-08,패스트캠퍼스,교육,45억원,,"소프트뱅크벤처스, IMM 인베스트먼트"
2018-02-08,워시스왓,O2O,30억원,시리즈A,"애드벤처, 스트롱벤처스, 프라이머"
2018-02-08,텐원더스,플랫폼,2억원,,한국벤처투자
2018-02-09,오피지지,게임,30억원,,DS자산운용
2018-02-09,키두,유아,비공개,,HGI
2018-02-09,크리에이트립,플랫폼,10억원,시리즈A,CKD창업투자
2018-02-12,위니플,모바일,10억원,시리즈A,삼호그린인베스트먼트
2018-02-12,띵스플로우,챗봇,6억원,,"본엔젤스파트너스,스프링캠프"
2018-02-12,플랫포스,모바일,비공개,시드라운드,케이큐브벤처스
2018-02-13,위버플,AI,36억원,시리즈B,한국투자파트너스
2018-02-13,소셜네트워크,AR,20억원,,하나금융투자
2018-02-13,요쿠스,동영상,10억원,,KTB네트워크
2018-02-14,정육각,O2O,5억원,,라이트하우스연합펀드
2018-02-14,카카오게임즈,서비스,1400억원,유상증자,
2018-02-14,럭시,카쉐어링,252억원,인수합병,카카오모빌리티
2018-02-19,패스트파이브,공유오피스,200억원,,"에이티넘인베스트먼트, 타임폴리오자산운용"
2018-02-20,힛더티,푸드,비공개,시드라운드,AI엔젤클럽
2018-02-20,콰라,핀테크,11억원,,"킹슬리벤처스,엔엑스브이피"
2018-02-20,소셜네트워크,AR,80억원,,
2018-02-21,이스트엔드,패션,10억원,시드,캡스톤파트너스
2018-02-21,디알코퍼레이션,패션,3억원,,패스트인베스트먼트
2018-02-22,시그널소프트,소프트웨어,비공개,M&A,비긴메이트
2018-02-22,패브릭타임,패션,비공개,시드라운드,케이큐브벤처스
2018-02-23,더팀스,플랫폼,1억원,시드라운드,"윤민창의재단, 더벤처스"
2018-02-23,시프티,SaaS,비공개,시드라운드,
2018-02-26,빅뱅엔젤스,VC,비공개,,시너지벤처파트너스
2018-02-27,엔씨엘바이오,바이오,50억원,,
2018-02-27,클로버게임즈,게임,비공개,,스프링캠프
2018-02-28,딥바이오,바이오,40억원,,"디티앤인베스트먼트, 현대기술투자, 세종벤처파트너스, 대성창업투자, MG인베스트먼트"
2018-02-28,핀콘,게임,50억원,,넵튠
2018-02-28,펫프렌즈,O2O,비공개,,GS홈쇼핑
2018-03-02,TG360테크놀로지스,빅데이터,10억원,,"신한카드, 신한캐피탈"
2018-03-02,넵튠,게임,300억원,,"카카오게임즈, 히스토리투자자문, 한국투자신탁운용, 오라이언자산운용, 파인밸류자산운용, SNK코퍼레이션, SBI인베스트먼트"
2018-03-05,그램퍼스,게임,20억원,,스마일게이트인베스트먼트
2018-03-05,코퍼스코리아,콘텐츠,50억원,프리IPO,"KDB산업은행, KTB네트워크"
2018-03-05,스노우,플랫폼,500억원,유상증자,네이버
2018-03-05,마피아컴퍼니,플랫폼,9억원,,중소벤처기업부 팁스 프로그램
2018-03-06,지놈앤컴퍼니,바이오,10억원,,마크로젠
2018-03-06,바이앤어스,헬스케어,비공개,,더벤처스
2018-03-06,콜린스,푸드,5억원,,마젤란기술투자
2018-03-07,제이엘케이인스펙션,바이오,100억원,,"KB인베스트먼트, 메디치인베스트먼트, 인터베스트, SL인베스트먼트, BNH인베스트먼트"
2018-03-08,넥스트에이지,게임,50억원,,"데브시스터즈벤처스와 키움증권, 크리스탈컴퍼니"
2018-03-09,비트레인,게임,30억원,,데브시스터즈
2018-03-09,유비케어,헬스케어,480억원,유상증자,카카오인베스트먼트
2018-03-13,스캐터랩,머신러닝,40억원,시리즈B,"코그니티브인베스트먼트, 이에스인베스터,엔씨소프트"
2018-03-13,한패스,핀테크,30억원,,한국투자파트너스
2018-03-13,비트나인,db솔루션,30억원,,"네오플럭스, 서울투자파트너스, 대덕벤처파트너스"
2018-03-14,뉴지스탁,핀테크,8억원,,와디즈크라우드펀딩
2018-03-14,래디쉬픽션,콘텐츠,비공개,,HGI
2018-03-15,애이비플러스비,패션,비공개,,스타일쉐어
2018-03-15,엄선,플랫폼,비공개,,"아주IB투자, KB국민카드, 신한금융그룹"
2018-03-19,노르마,보안,30억원,,"기술보증기금, SBI인베스트먼트, 한국투자파트너스"
2018-03-19,인핏앤컴퍼니,헬스케어,35억원,시리즈A,"한국투자파트너스, 파트너스인베스트먼트"
2018-03-20,YDM차이나,마케팅,비공개,인수합병,FSN Asia
2018-03-21,헬로팩토리,IoT,비공개,,인포뱅크
2018-03-22,리니어블,IoT,21억원,,셈테크
2018-03-23,비씨켐,바이오,비공개,,요즈마그룹코리아
2018-03-26,나임네트웍스,클라우드,20억원,,메디치인베스트
2018-03-26,커널로그,IoT,비공개,,스프링캠프
2018-03-26,브런트,IoT,15억원,,"카카오벤처스, 네이버"
2018-03-27,에그커뮤니케이션즈,마케팅,비공개,인수합병,제이모바일닷아이오
2018-03-27,이에스다산,제조,15억원,,경남-지앤텍 창조경제혁신펀드
2018-03-27,레저큐,레저,비공개,인수합병,야놀자
2018-03-28,레몬헬스케어,헬스케어,50억원,,"LSK인베스트먼트, BNH인베스트먼트, 미래에셋캐피탈, 기술보증기금"
2018-03-29,탱크테크,제조,30억원,,BK 6호 조선업 구조개선 출자조합
2018-03-29,차카고,플랫폼,비공개,,세븐스톡
2018-03-29,넵튠,게임,30억원,,SNK
2018-03-29,쿠팡,e커머스,1500억원,,
2018-03-30,왓챠,플랫폼,120억원,시리즈C,"네오플럭스, 아주IB투자, 코그니티브인베스트먼트, 레오파트너스인베스트먼트, MG인베스트먼트, 송현인베스트먼트, 해시드"
2018-04-02,맵스,반도체,53억원,,
2018-04-02,플렉시고,제조,10억원,,원익투자파트너스
2018-04-03,에이원미디어그룹,광고,41억원,시리즈A,"글로벌카탈리스트파트너스재팬, SBI인베스트먼트, D.A.컨소시엄"
2018-04-03,스캐터랩,AI,50억원,,"엔씨소프트, 소프트뱅크벤처스, 코그니티브 인베스트먼트, ES인베스터"
